College,Players Qty,Player,End Year
University of Southern California Baseball Players,120,MLB Player Name,ayed
University of Southern California Baseball Players,120,Fay Thomas,1925
University of Southern California Baseball Players,120,Red Badgro,1927
University of Southern California Baseball Players,120,Jesse Hill,1930
University of Southern California Baseball Players,120,Rod Dedeaux,1935
University of Southern California Baseball Players,120,Joe Gonzales,1937
University of Southern California Baseball Players,120,Johnny Berardino,1937
University of Southern California Baseball Players,120,Bruce Konopka,1942
University of Southern California Baseball Players,120,Jack Brewer (LBCC),1940
University of Southern California Baseball Players,120,Merl Combs,1941
University of Southern California Baseball Players,120,"Wally Hood, Jr.",1948
University of Southern California Baseball Players,120,Hank Workman,1948
University of Southern California Baseball Players,120,Archie Wilson (California),1946
University of Southern California Baseball Players,120,Jim Brideweser,1949
University of Southern California Baseball Players,120,Gail Henley,1948
University of Southern California Baseball Players,120,Rudy Regalado,1950
University of Southern California Baseball Players,120,Al Silvera,1955
University of Southern California Baseball Players,120,Buddy Pritchard,1956
University of Southern California Baseball Players,120,Barry Latman,1955
University of Southern California Baseball Players,120,Bob Lillis,1951
University of Southern California Baseball Players,120,Johnny James,1952
University of Southern California Baseball Players,120,Ron Fairly,1958
University of Southern California Baseball Players,120,Kent Hadley,1956
University of Southern California Baseball Players,120,Jim McAnany,1955
University of Southern California Baseball Players,120,Len Gabrielson,1959
University of Southern California Baseball Players,120,Ron Stillwell,1961
University of Southern California Baseball Players,120,Tom Satriano,1961
University of Southern California Baseball Players,120,Dan Ardell,1961
University of Southern California Baseball Players,120,Don Buford,1959
University of Southern California Baseball Players,120,Johnny Werhas,1959
University of Southern California Baseball Players,120,Rex Johnston,1959
University of Southern California Baseball Players,120,Rene Lachemann,1963
University of Southern California Baseball Players,120,Bill Heath,1960
University of Southern California Baseball Players,120,Gary Sutherland,1964
University of Southern California Baseball Players,120,Tom Seaver (Fresno City),1965
University of Southern California Baseball Players,120,Mike Adamson,1967
University of Southern California Baseball Players,120,Gary Holman,1963
University of Southern California Baseball Players,120,Marcel Lachemann,1962
University of Southern California Baseball Players,120,Bill Lee,1968
University of Southern California Baseball Players,120,Ray Lamb,1966
University of Southern California Baseball Players,120,Oscar Brown,1966
University of Southern California Baseball Players,120,Wally Wolf,1961
University of Southern California Baseball Players,120,Tom House,1967
University of Southern California Baseball Players,120,Dave Kingman,1970
University of Southern California Baseball Players,120,Jim Barr,1970
University of Southern California Baseball Players,120,Brent Strom,1970
University of Southern California Baseball Players,120,Steve Busby,1971
University of Southern California Baseball Players,120,Fred Lynn,1973
University of Southern California Baseball Players,120,Roy Smalley,1973
University of Southern California Baseball Players,120,Eric Raich,1971
University of Southern California Baseball Players,120,Pete Redfern,1975
University of Southern California Baseball Players,120,Ed Putman,1974
University of Southern California Baseball Players,120,Rich Dauer,1974
University of Southern California Baseball Players,120,Steve Kemp,1975
University of Southern California Baseball Players,120,Dennis Littlejohn,1975
University of Southern California Baseball Players,120,Randy Scarbery,1973
University of Southern California Baseball Players,120,Bill Bordley,1978
University of Southern California Baseball Players,120,Bobby Mitchell,1977
University of Southern California Baseball Players,120,Dave Engle,1978
University of Southern California Baseball Players,120,Chris Smith,1978
University of Southern California Baseball Players,120,Tim Tolman,1978
University of Southern California Baseball Players,120,Dave Hostetler,1978
University of Southern California Baseball Players,120,Jeff Schattinger,1978
University of Southern California Baseball Players,120,Dave Van Gorder,1978
University of Southern California Baseball Players,120,Bob Skube,1979
University of Southern California Baseball Players,120,Mike Couchee (San Diego),1980
University of Southern California Baseball Players,120,Dave Leeper,1981
University of Southern California Baseball Players,120,Stu Pederson (Pacific),1981
University of Southern California Baseball Players,120,Mark McGwire,1984
University of Southern California Baseball Players,120,Randy Johnson,1985
University of Southern California Baseball Players,120,Jeff Wetherby,1985
University of Southern California Baseball Players,120,Bret Barberie (Cerritos),1988
University of Southern California Baseball Players,120,Brad Brink,1986
University of Southern California Baseball Players,120,Bret Boone,1990
University of Southern California Baseball Players,120,John Cummings,1990
University of Southern California Baseball Players,120,Damon Buford,1990
University of Southern California Baseball Players,120,Jeff Cirillo,1991
University of Southern California Baseball Players,120,Mark Smith,1991
University of Southern California Baseball Players,120,Mike Robertson,1991
University of Southern California Baseball Players,120,Aaron Boone,1994
University of Southern California Baseball Players,120,Bobby Hughes,1992
University of Southern California Baseball Players,120,Geoff Jenkins,1995
University of Southern California Baseball Players,120,Gabe Alvarez,1995
University of Southern California Baseball Players,120,Jacque Jones,1996
University of Southern California Baseball Players,120,Brian Cooper,1995
University of Southern California Baseball Players,120,Seth Etherton,1998
University of Southern California Baseball Players,120,Chad Moeller,1996
University of Southern California Baseball Players,120,Eric Munson,1999
University of Southern California Baseball Players,120,Barry Zito (UCSB & Pierce),1999
University of Southern California Baseball Players,120,Morgan Ensberg,1998
University of Southern California Baseball Players,120,Randy Flores,1997
University of Southern California Baseball Players,120,Jason Lane (SRJC),1999
University of Southern California Baseball Players,120,Mark Prior,2001
University of Southern California Baseball Players,120,Steve Smyth (Cypress),1999
University of Southern California Baseball Players,120,Justin Lehr (UCSB),1999
University of Southern California Baseball Players,120,J.P. Howell (Texas),2002
University of Southern California Baseball Players,120,Ron Flores,2000
University of Southern California Baseball Players,120,Anthony Reyes,2003
University of Southern California Baseball Players,120,Brian Bannister,2003
University of Southern California Baseball Players,120,Matt Chico,2002
University of Southern California Baseball Players,120,Ian Kennedy,2006
University of Southern California Baseball Players,120,Jeff Clement,2005
University of Southern California Baseball Players,120,Lucas Duda,2007
University of Southern California Baseball Players,120,Ryan Cook,2008
University of Southern California Baseball Players,120,Anthony Vasquez (Texas A&M),2009
University of Southern California Baseball Players,120,Tom Milone,2008
University of Southern California Baseball Players,120,Brad Boxberger,2009
University of Southern California Baseball Players,120,Grant Green,2009
University of Southern California Baseball Players,120,Nick Buss,2008
University of Southern California Baseball Players,120,Chad Smith,2011
University of Southern California Baseball Players,120,Andrew Triggs,2012
University of Southern California Baseball Players,120,Robert Stock,2009
University of Southern California Baseball Players,120,Stephen Tarpley,2012
University of Southern California Baseball Players,120,Garrett Stubbs,2015
University of Southern California Baseball Players,120,Brooks Kriske,2016
University of Southern California Baseball Players,120,Bernardo Flores Jr.,2016
University of Southern California Baseball Players,120,Lars Nootbaar,2018
University of Southern California Baseball Players,120,Tyler Gilbert,2015
University of Southern California Baseball Players,120,Blake Sabol,2019
University of Southern California Baseball Players,120,Kyle Hurt,2020
University of Southern California Baseball Players,120,Rhylan Thomas,2022
University of Southern California Baseball Players,120,MLB Player Name,ayed
University of Texas at Austin Baseball Players,120,MLB Player Name,ayed
University of Texas at Austin Baseball Players,120,Walter Morris,1900
University of Texas at Austin Baseball Players,120,Bob Cone,1915
University of Texas at Austin Baseball Players,120,Mike Massey,1914
University of Texas at Austin Baseball Players,120,Bibb Falk,1920
University of Texas at Austin Baseball Players,120,Howie Fitzgerald,1920
University of Texas at Austin Baseball Players,120,Chet Falk,1924
University of Texas at Austin Baseball Players,120,Heinie Odom,1924
University of Texas at Austin Baseball Players,120,Hod Kibbie (Louisville),1925
University of Texas at Austin Baseball Players,120,Les Cox,1925
University of Texas at Austin Baseball Players,120,Neal Baker,1927
University of Texas at Austin Baseball Players,120,Howie Williamson,1926
University of Texas at Austin Baseball Players,120,Pinky Higgins,1930
University of Texas at Austin Baseball Players,120,Tom Hughes,1929
University of Texas at Austin Baseball Players,120,Ox Eckhardt,1924
University of Texas at Austin Baseball Players,120,Marty Hopkins,1929
University of Texas at Austin Baseball Players,120,Pat Ankenman,1934
University of Texas at Austin Baseball Players,120,Ernie Koy (Blinn),1933
University of Texas at Austin Baseball Players,120,Dick Midkiff,1936
University of Texas at Austin Baseball Players,120,Mel Preibisch,1936
University of Texas at Austin Baseball Players,120,Tex Hughson,1937
University of Texas at Austin Baseball Players,120,Norm Branch,1936
University of Texas at Austin Baseball Players,120,Jack Conway,1939
University of Texas at Austin Baseball Players,120,Grady Hatton,1943
University of Texas at Austin Baseball Players,120,Mel Deutsch,1941
University of Texas at Austin Baseball Players,120,Pete Laydon,1941
University of Texas at Austin Baseball Players,120,Randy Jackson (TCU),1947
University of Texas at Austin Baseball Players,120,Murray Wall,1950
University of Texas at Austin Baseball Players,120,Kal Segrist,1950
University of Texas at Austin Baseball Players,120,Tom Hamilton,1949
University of Texas at Austin Baseball Players,120,Charlie Gorin,1950
University of Texas at Austin Baseball Players,120,Mack Burk,1955
University of Texas at Austin Baseball Players,120,Harry Taylor,1957
University of Texas at Austin Baseball Players,120,Howie Reed,1957
University of Texas at Austin Baseball Players,120,Max Alvis,1958
University of Texas at Austin Baseball Players,120,Wayne Graham,1956
University of Texas at Austin Baseball Players,120,Bill Bethea,1963
University of Texas at Austin Baseball Players,120,Bart Shirley,1960
University of Texas at Austin Baseball Players,120,Chuck Hartenstein,1964
University of Texas at Austin Baseball Players,120,Joe Hague,1965
University of Texas at Austin Baseball Players,120,Gary Moore,1966
University of Texas at Austin Baseball Players,120,MLB Player Name,ayed
University of Texas at Austin Baseball Players,120,MLB Player Name,ayed
University of Texas at Austin Baseball Players,120,Burt Hooton,1971
University of Texas at Austin Baseball Players,120,Dave Chalk,1972
University of Texas at Austin Baseball Players,120,Larry Hardy,1970
University of Texas at Austin Baseball Players,120,Mike Beard,1971
University of Texas at Austin Baseball Players,120,Jim Gideon,1975
University of Texas at Austin Baseball Players,120,Ken Pape,1973
University of Texas at Austin Baseball Players,120,Bobby Cuellar,1974
University of Texas at Austin Baseball Players,120,Rich Wortham,1976
