date,product_name,quantity,unit_price,total_price,seller_name,region
2021-01-01,Laptop,10.0,1000.0,10000.0,Alice,North
2021-02-01,Phone,15.0,500.0,7500.0,Bob,South
2021-03-32,Tablet,20.0,300.0,6000.0,Charlie,East
,,,,,,
2021-05-01,Phone,18.0,500.0,9000.0,Bob,North
2021-06-01,Tablet,22.0,,6600.0,Charlie,South
2021-07-01,Laptop,8.0,1000.0,8000.0,Alice,East
2021-08-01,Phone,14.0,500.0,,Bob,West
,Phone,,,,Bob,South
2021-10-01,Laptop,11.0,1000.0,11000.0,Alice,South
2021-01-01,Laptop,10.0,1000.0,10000.0,Alice,North
2021-02-01,Phone,15.0,500.0,7500.0,Bob,South
2021-03-32,Tablet,20.0,300.0,6000.0,Charlie,East
,,,,,,
2021-05-01,Phone,18.0,500.0,9000.0,Bob,North
2021-06-01,Tablet,22.0,,6600.0,Charlie,South
2021-07-01,Laptop,8.0,1000.0,8000.0,Alice,East
2021-08-01,Phone,14.0,500.0,,Bob,West
,Phone,,,,Bob,South
2021-10-01,Laptop,11.0,1000.0,11000.0,Alice,South
2021-06-01,Phone,18.0,500.0,9000.0,Bob,South
